# Title : Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20220517151028
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : -
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
aoml/1902392/profiles/R1902392_018.nc,20220508064640,41.814,-53.305,A,854,AO,20220508090104
aoml/1902444/profiles/R1902444_016.nc,20220510110842,38.174,-68.974,A,876,AO,20220510140148
aoml/3901219/profiles/R3901219_190.nc,20220514002955,40.769,-51.64,A,854,AO,20220514020109
aoml/4902104/profiles/R4902104_245.nc,20220515120433,41.809,-60.802,A,854,AO,20220515140116
aoml/4902111/profiles/R4902111_235.nc,20220508004627,37.629,-51.561,A,854,AO,20220508020105
aoml/4902120/profiles/R4902120_226.nc,20220510132906,34.249,-57.261,A,854,AO,20220510170126
aoml/4902121/profiles/R4902121_226.nc,20220517025600,38.934,-58.02,A,854,AO,20220517040107
aoml/4902337/profiles/R4902337_252.nc,20220508173236,43.027,-58.14,A,854,AO,20220508183058
aoml/4902344/profiles/R4902344_210.nc,20220509151438,33.182,-73.364,A,854,AO,20220509170127
aoml/4902345/profiles/R4902345_226.nc,20220510072503,36.195,-68.945,A,854,AO,20220510090116
aoml/4902909/profiles/R4902909_186.nc,20220509102204,34.468,-69.02,A,854,AO,20220509110056
aoml/4902910/profiles/R4902910_196.nc,20220514171108,34.349,-71.091,A,854,AO,20220514183541
aoml/4902913/profiles/R4902913_191.nc,20220514025920,33.471,-74.002,A,854,AO,20220514183542
aoml/4902927/profiles/R4902927_163.nc,20220508135928,42.922,-56.687,A,854,AO,20220508153117
aoml/4902928/profiles/R4902928_163.nc,20220510155726,38.923,-61.242,A,854,AO,20220510170132
aoml/4903035/profiles/R4903035_172.nc,20220508204058,35.765,-54.551,A,854,AO,20220508223126
aoml/4903036/profiles/R4903036_163.nc,20220512202352,37.513,-64.134,A,854,AO,20220512223144
aoml/4903042/profiles/R4903042_133.nc,20220514160447,42.187,-56.032,A,854,AO,20220514183619
aoml/4903043/profiles/R4903043_129.nc,20220510133126,38.53,-71.796,A,854,AO,20220510170134
aoml/4903049/profiles/R4903049_132.nc,20220514155951,41.991,-60.419,A,854,AO,20220514183620
aoml/4903050/profiles/R4903050_119.nc,20220512091750,34.361,-56.943,A,854,AO,20220512100126
aoml/4903252/profiles/R4903252_186.nc,20220508061412,39.945,-66.755,A,854,AO,20220508070136
aoml/4903258/profiles/R4903258_197.nc,20220512153233,37.764,-49.473,A,854,AO,20220512170116
aoml/4903273/profiles/R4903273_037.nc,20220515062703,34.377,-65.588,A,869,AO,20220515070146
aoml/4903274/profiles/R4903274_044.nc,20220513050041,34.385,-62.783,A,869,AO,20220513070137
aoml/4903280/profiles/R4903280_058.nc,20220516171110,36.045,-62.18,A,854,AO,20220516190146
aoml/5906342/profiles/R5906342_042.nc,20220511161341,33.66,-56.802,A,846,AO,20220511223133
aoml/5906438/profiles/R5906438_037.nc,20220507225355,42.281,-50.016,A,846,AO,20220508040057
bodc/6901195/profiles/R6901195_189.nc,20220516022242,33.085,-53.981,A,846,BO,20220516140649
coriolis/3901601/profiles/R3901601_207.nc,20220515042433,40.147,-60.252,A,846,IF,20220516142742
coriolis/3901602/profiles/R3901602_207.nc,20220511141433,38.505,-73.007,A,846,IF,20220513001933
coriolis/3901603/profiles/R3901603_207.nc,20220512222437,33.084,-48.683,A,846,IF,20220514101856
coriolis/3901604/profiles/R3901604_207.nc,20220512184929,33.611,-59.273,A,846,IF,20220514042030
coriolis/3901654/profiles/R3901654_150.nc,20220516054300,42.009,-64.029,A,844,IF,20220516101755
coriolis/6903123/profiles/R6903123_017.nc,20220512133430,36.186,-49.454,A,844,IF,20220512172738
coriolis/6904126/profiles/R6904126_017.nc,20220508053620,33.648,-53.39,A,844,IF,20220508062943
meds/4902441/profiles/R4902441_132.nc,20220509070900,36.332,-65.997,A,844,ME,20220509071543
meds/4902442/profiles/R4902442_132.nc,20220514112600,39.432,-48.954,A,844,ME,20220514101543
meds/4902467/profiles/R4902467_112.nc,20220514061800,35.366,-71.684,A,844,ME,20220514041547
meds/4902470/profiles/R4902470_112.nc,20220514062000,38.918,-58.384,A,844,ME,20220514041548
meds/4902502/profiles/R4902502_058.nc,20220513064700,35.366,-69.97,A,844,ME,20220513071550
meds/4902503/profiles/R4902503_058.nc,20220513064400,36.476,-64.026,A,844,ME,20220513071551
meds/4902515/profiles/R4902515_023.nc,20220509032700,38.229,-54.691,A,844,ME,20220509011541
meds/4902518/profiles/R4902518_023.nc,20220509184900,37.831,-70.48,A,844,ME,20220509191545
meds/4902519/profiles/R4902519_023.nc,20220511183800,40.573,-55.466,A,844,ME,20220511161542
meds/4902523/profiles/R4902523_058.nc,20220512063700,36.525,-68.496,A,844,ME,20220512041546
meds/4902573/profiles/R4902573_015.nc,20220510035500,38.36,-56.073,A,844,ME,20220510041550
meds/4902575/profiles/R4902575_003.nc,20220508153500,37.757,-48.687,A,844,ME,20220508131541
meds/4902576/profiles/R4902576_005.nc,20220513183800,43.097,-60.639,A,844,ME,20220513161542
meds/4902577/profiles/R4902577_005.nc,20220514021000,42.786,-59.286,A,844,ME,20220514011541
meds/4902595/profiles/R4902595_003.nc,20220511155900,42.623,-48.082,A,844,ME,20220511161544
