# Title : Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20220518032928
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : -
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
coriolis/3901849/profiles/R3901849_435.nc,20220516120020,39.527,1.144,A,844,IF,20220516124533
coriolis/6901280/profiles/R6901280_128.nc,20220511054230,37.132,-0.002,A,844,IF,20220511063510
coriolis/6901280/profiles/R6901280_129.nc,20220516054230,37.154,-0.063,A,844,IF,20220516063745
coriolis/6901281/profiles/R6901281_111.nc,20220510054530,39.029,3.432,A,844,IF,20220510070753
coriolis/6901281/profiles/R6901281_112.nc,20220515054230,39.036,3.431,A,844,IF,20220515070509
coriolis/6901282/profiles/R6901282_030.nc,20220509143030,38.589,1.801,A,844,IF,20220509153004
coriolis/6901282/profiles/R6901282_031.nc,20220514155930,38.561,1.854,A,844,IF,20220514163253
coriolis/6901283/profiles/R6901283_030.nc,20220511000030,39.63,1.853,A,844,IF,20220511002548
coriolis/6901283/profiles/R6901283_031.nc,20220515213430,39.719,1.899,A,844,IF,20220515222551
coriolis/6901774/profiles/R6901774_224.nc,20220511102100,37.865,2.118,A,836,IF,20220511113917
coriolis/6902876/profiles/R6902876_211.nc,20220511021130,38.544,4.901,A,841,IF,20220511035421
coriolis/6902876/profiles/R6902876_212.nc,20220516021330,38.372,4.558,A,841,IF,20220516035339
coriolis/6902876/profiles/R6902876_213.nc,20220517021330,38.335,4.475,A,841,IF,20220517035022
coriolis/6902937/profiles/R6902937_214.nc,20220511021430,37.048,0.076,A,841,IF,20220511033706
coriolis/6902937/profiles/R6902937_215.nc,20220516021530,37.061,0.028,A,841,IF,20220516033637
coriolis/6902987/profiles/R6902987_068.nc,20220513024630,40.678,3.119,A,844,IF,20220513034118
coriolis/6903016/profiles/R6903016_214.nc,20220512115330,37.619,4.781,A,844,IF,20220512124459
coriolis/6903019/profiles/R6903019_190.nc,20220509060030,41.877,3.623,A,844,IF,20220509071717
coriolis/6903019/profiles/R6903019_191.nc,20220514054930,41.817,3.538,A,844,IF,20220514070337
coriolis/6903239/profiles/R6903239_303.nc,20220512055700,37.601,2.197,A,844,IF,20220512065046
coriolis/6903239/profiles/R6903239_304.nc,20220517055200,37.582,2.03,A,844,IF,20220517065608
coriolis/6903248/profiles/R6903248_422.nc,20220508114430,38.197,3.502,A,844,IF,20220508124954
coriolis/6903248/profiles/R6903248_423.nc,20220513120330,38.135,3.261,A,844,IF,20220513133401
coriolis/6903817/profiles/R6903817_157.nc,20220511015320,40.348,2.635,A,844,IF,20220511022631
coriolis/6903817/profiles/R6903817_158.nc,20220516115620,40.389,2.44,A,844,IF,20220516124319
coriolis/6903818/profiles/R6903818_163.nc,20220511164220,40.649,2.268,A,844,IF,20220511172907
coriolis/6903818/profiles/R6903818_164.nc,20220516165130,40.585,2.656,A,844,IF,20220516173305
coriolis/6904065/profiles/R6904065_166.nc,20220508054830,39.97,4.856,A,844,IF,20220508063958
coriolis/6904065/profiles/R6904065_167.nc,20220509055230,39.975,4.927,A,844,IF,20220509065741
coriolis/6904065/profiles/R6904065_168.nc,20220510055330,39.986,4.981,A,844,IF,20220510072127
coriolis/6904065/profiles/R6904065_173.nc,20220515054830,40.24,4.95,A,844,IF,20220515071638
coriolis/6904065/profiles/R6904065_174.nc,20220516055530,40.271,4.85,A,844,IF,20220516064955
coriolis/6904065/profiles/R6904065_175.nc,20220517054930,40.282,4.76,A,844,IF,20220517065112
